Département,Numéro Circonscription,Numéro Panneau,Nom,Prénom,Civilité,Nuance Ministère,Nuance agrégée par Le Monde,Parti agrégé par Le Monde
075,07,12,MOGHIR,Naïma,Mme,ECO,div.,divers inclassable
075,07,13,DAGUENEL (NGUYEN CONG DUC),Anne Hélène Janine Marie,Mme,RN,RN,Rassemblement national
075,07,10,MECARY,Caroline,Mme,NUP,LFI-Nupes,La France insoumise
075,07,1,PETIT,Aurélia,Mme,DXG,LO,Lutte ouvrière
075,07,6,FLAHAUT-PREVOT,Rodrigue,M.,RDG,PRG,Parti radical de gauche
075,07,7,DELÉTANG,Constance,Mme,REC,Rec.,Reconquête !
075,07,3,MAZUEL,Philippe,M.,DVG,div. g.,Divers gauche
075,07,2,BEAUNE,Clément,M.,ENS,LRM-Ensemble,La République en marche
075,08,8,MONTANDON,Valérie,Mme,LR,LR,Les Républicains
075,08,1,BLONDEL,Marie-Noelle,Mme,DVC,div.,divers inclassable
075,08,4,DUPONCEL,Crystal,Mme,DSV,Pat.,Les Patriotes
075,08,7,LUTZ,Manuel,M.,DIV,div.,divers inclassable
075,08,5,LANCELOT,Vanessa,Mme,RN,RN,Rassemblement national
075,08,3,VOLBART,Laurence,Mme,ECO,Anim.,Parti animaliste
075,08,6,KOBBI,Nezha,Mme,ECO,div.,divers inclassable
075,08,2,RITROVATO,Grégory,M.,DIV,Pirate,Parti Pirate
075,08,9,GIRAUD,Marie-Claude,Mme,DVG,FGR,Fédération de la gauche républicaine
075,08,10,BERNON,Anne,Mme,DXG,LO,Lutte ouvrière
075,08,11,TRUNKENWALD,Jannick,M.,REC,Rec.,Reconquête !
075,08,12,AVIA,Laëtitia,Mme,ENS,LRM-Ensemble,La République en marche
075,08,13,SAS,Eva,Mme,NUP,EELV-Nupes,Europe Ecologie-Les Verts
075,09,2,OLIVIER,Jean-Baptiste,M.,LR,LR,Les Républicains
075,09,5,BEYSSAC,Pierre,M.,DIV,Pirate,Parti Pirate
075,09,11,MIERMONT,Laurent,M.,DVG,FGR,Fédération de la gauche républicaine
075,09,8,ROUSSEAU,Sandrine,Mme,DVD,MdR,Mouvement de la ruralité
075,09,9,TAN,Buon,M.,ENS,LRM-Ensemble,La République en marche
075,09,10,ROUSSEL,Carole Isabelle Gabrielle,Mme,RN,RN,Rassemblement national
075,09,12,LABUS,Irène,Mme,DSV,Pat.,Les Patriotes
075,09,13,ROUSSEAU,Sandrine,Mme,NUP,EELV-Nupes,Europe Ecologie-Les Verts
075,09,1,COSSART,Béatrice,Mme,ECO,Anim.,Parti animaliste
075,09,3,BEDAGUE,Florence,Mme,DXG,LO,Lutte ouvrière
075,09,6,MEYER,David,M.,REC,Rec.,Reconquête !
075,09,7,GLOESS,Éric,M.,DXG,POID,Parti ouvrier indépendant démocratique
075,09,4,NECHADI,Farid,M.,DVG,div. g.,Divers gauche
075,10,15,SHOUKRY,Habib,M.,LR,LR,Les Républicains
075,10,7,MODROÑO RODRIGUEZ,Margarita,Mme,DVG,FGR,Fédération de la gauche républicaine
075,10,4,DENEUVE,Jacqueline,Mme,DVC,Rés.,Résistons !
075,10,9,VAUTIER,Vincent,M.,DXG,POID,Parti ouvrier indépendant démocratique
075,10,14,HAMDANI,Khalid,M.,ECO,div.,divers inclassable
075,10,17,MOORADUN RUMJAUN,Hania,Mme,ECO,div.,divers inclassable
075,10,13,SANDO,Francis,M.,DVD,DLF,Debout la France
075,10,18,SELLIER,Thomas,M.,DIV,Pirate,Parti Pirate
075,10,16,NGUEMBOCK,Deza,Mme,DVG,div.,divers inclassable
075,10,1,LANG,Anne-Christine,Mme,ENS,LRM-Ensemble,La République en marche
075,10,5,HONGRE,Anne-Sophie,Mme,REC,Rec.,Reconquête !
075,10,3,GOLDSTEIN,Michel Abdul Wahid,M.,DVC,LRM dis.,dissident La République en marche
075,10,6,DE SAINT JUST,Wallerand,M.,RN,RN,Rassemblement national
075,10,8,TISSIER,Sophie,Mme,DIV,div.,divers inclassable
075,10,10,MUET,Myriam,Mme,UDI,UDI,Union des démocrates et indépendants
075,10,11,NORDMANN,Simon,M.,ECO,Anim.,Parti animaliste
075,10,2,ARENAS,Rodrigo,M.,NUP,LFI-Nupes,La France insoumise
075,10,12,BAILLE,Olivia,Mme,DXG,LO,Lutte ouvrière
075,11,7,CARRERE-GEE,Marie-Claire,Mme,LR,LR,Les Républicains
075,11,1,SIMÉON ÉP EYCHART,Marie-Thérèse-Jeanne,Mme,DVG,div.,divers inclassable
075,11,2,LABOURDETTE,Valentine,Mme,ECO,Anim.,Parti animaliste
075,11,5,COUSIN,Saddia,Mme,RN,RN,Rassemblement national
075,11,6,POLSKI,Olivia,Mme,NUP,PS-Nupes,Parti socialiste
075,11,3,GATEL,Maud,Mme,ENS,MoDem-Ensemble,Mouvement démocrate
075,11,4,EDON-GUILLOT,Dominique,Mme,DXG,POID,Parti ouvrier indépendant démocratique
075,11,8,LAYRÉ-CASSOU,Franck,M.,REC,Rec.,Reconquête !
075,11,9,LE GAC,Nolwenn,Mme,DIV,Pirate,Parti Pirate
075,11,10,VINCIGUERRA,Laurent,M.,DXG,LO,Lutte ouvrière
075,12,4,LORIAU,Jérôme,M.,LR,LR,Les Républicains
075,12,6,BATTINI,Jean-Luc,M.,ECO,Anim.,Parti animaliste
075,12,10,VIERNE,Sidonie,Mme,DSV,Pat.,Les Patriotes
075,12,11,PAGEARD,Agnès,Mme,RN,RN,Rassemblement national
